126006,318,0,0,63,0,0,0,33,713,5607502,10,0,16,90,0,0,108,0,79,706409,0,0,0,0,0,0,0,0,0,1585,0,0,0,0,5,0,1211,492,1653,0,0,3,432558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,5,40,0,2,5,1,0,0,11845,37,1992_1997
339566,430,0,0,538,0,0,0,9,12806,268548,23,0,122,4262,13,0,0,146,0,1553,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6777,0,49,0,0,24,80228,0,0,0,8,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,178,0,50,25,0,0,29,0,1,0,31388,38,1992_1997
2464085,17,6131,0,94,388,116,73,347,9983,500801,3,282,2,1050,0,0,475,3566,0,1512955,0,97,0,10902,2057,2,0,7,0,71782,0,0,0,0,70,0,2136,14690,379,5,0,4,1594919,0,0,64,9,0,1190,0,0,0,750353,975,0,9,0,175,0,21,0,421,7119502,1,90,35,0,516,1,56,0,0,39851,39,1992_1997
567687,5085,3,0,265,28,6,6,101,3567,2573182,198,71,66,1229,1172,941,2635,32,278,376701,0,35,20,243,48,250,0,89,0,13292,1,9,0,0,0,0,14786,190,982,10,0,994,1372482,7,0,41,0,83,171,0,493,7,1300979,4738,25,0,178,55,0,406,0,4358,1867235,9,0,0,0,0,46,0,0,0,628907,40,1992_1997
29848167,49371,20611,0,40390,117,5826,6599,7831,226359,19408497,14944,359,1603,5839,549,1239,1285,52206,71043,29163128,0,16590,0,26083,69298,9432,226,143,0,344195,389,0,0,0,83,0,381503,28364,30794,297,0,406,623313,0,0,237,18096,135,3100,0,564,0,2381986,4508,75,28701,83,31570,0,1015,0,2034,19898923,1075,7178,1085,5033,1502,911,48,366,1818,1523923,41,1992_1997
131065,261,0,0,698,0,0,0,38,2172,250954,0,9,5,42,13,0,4,0,0,135,0,0,0,0,0,0,0,0,0,5430,56,0,0,0,4,0,7090,0,0,0,0,0,200,0,0,0,0,0,0,0,1,0,457,0,0,0,0,0,0,0,0,0,0,0,58,71,0,3,0,0,0,0,17769,42,1992_1997
1518027,17571,258,0,475,0,114,0,3604,24285,8340014,15250,1988,205,9655,0,98,8558,37,1414,1651266,35,745,0,10,0,551,24,1107,445,260652,65,81,0,0,140,0,18801,0,772,0,1,78,571441,0,0,0,0,6,345,0,25,0,63658,0,1,0,0,0,0,5,0,0,3353,0,1,200,0,2,25,0,0,0,138652,43,1992_1997
2137,21,0,0,0,0,0,0,0,0,15343,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234,44,1992_1997
165,0,0,0,0,0,0,0,0,0,3820,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,45,1992_1997
479094,11678,2815,161,43,0,0,0,220,3960,2993167,98,52,33,484,0,0,811,40,146,139996,4,42,0,0,0,0,40,591,0,10315,0,0,0,0,355,0,1584,0,50,0,0,12,112998,0,0,1,8,0,0,0,0,0,44,0,113,0,0,0,0,0,0,0,6,0,81,429,0,11,0,0,0,0,38241,46,1992_1997
